id,date,store_nbr,family,sales,onpromotion
0,2013-01-01,1,AUTOMOTIVE,0.0,0
1,2013-01-01,1,BABY CARE,0.0,0
2,2013-01-01,1,BEAUTY,0.0,0
3,2013-01-01,1,BEVERAGES,0.0,0
4,2013-01-01,1,BOOKS,0.0,0
5,2013-01-01,1,BREAD/BAKERY,0.0,0
6,2013-01-01,1,CELEBRATION,0.0,0
7,2013-01-01,1,CLEANING,0.0,0
8,2013-01-01,1,DAIRY,0.0,0
9,2013-01-01,1,DELI,0.0,0
10,2013-01-01,1,EGGS,0.0,0
11,2013-01-01,1,FROZEN FOODS,0.0,0
12,2013-01-01,1,GROCERY I,0.0,0
13,2013-01-01,1,GROCERY II,0.0,0
14,2013-01-01,1,HARDWARE,0.0,0
15,2013-01-01,1,HOME AND KITCHEN I,0.0,0
16,2013-01-01,1,HOME AND KITCHEN II,0.0,0
17,2013-01-01,1,HOME APPLIANCES,0.0,0
18,2013-01-01,1,HOME CARE,0.0,0
19,2013-01-01,1,LADIESWEAR,0.0,0
20,2013-01-01,1,LAWN AND GARDEN,0.0,0
21,2013-01-01,1,LINGERIE,0.0,0
22,2013-01-01,1,"LIQUOR,WINE,BEER",0.0,0
23,2013-01-01,1,MAGAZINES,0.0,0
24,2013-01-01,1,MEATS,0.0,0
25,2013-01-01,1,PERSONAL CARE,0.0,0
26,2013-01-01,1,PET SUPPLIES,0.0,0
27,2013-01-01,1,PLAYERS AND ELECTRONICS,0.0,0
28,2013-01-01,1,POULTRY,0.0,0
29,2013-01-01,1,PREPARED FOODS,0.0,0
30,2013-01-01,1,PRODUCE,0.0,0
31,2013-01-01,1,SCHOOL AND OFFICE SUPPLIES,0.0,0
32,2013-01-01,1,SEAFOOD,0.0,0
1782,2013-01-02,1,AUTOMOTIVE,2.0,0
1783,2013-01-02,1,BABY CARE,0.0,0
1784,2013-01-02,1,BEAUTY,2.0,0
1785,2013-01-02,1,BEVERAGES,1091.0,0
1786,2013-01-02,1,BOOKS,0.0,0
1787,2013-01-02,1,BREAD/BAKERY,470.652,0
1788,2013-01-02,1,CELEBRATION,0.0,0
1789,2013-01-02,1,CLEANING,1060.0,0
1790,2013-01-02,1,DAIRY,579.0,0
1791,2013-01-02,1,DELI,164.069,0
1792,2013-01-02,1,EGGS,246.0,0
1793,2013-01-02,1,FROZEN FOODS,131.0,0
1794,2013-01-02,1,GROCERY I,2652.0,0
1795,2013-01-02,1,GROCERY II,31.0,0
1796,2013-01-02,1,HARDWARE,3.0,0
1797,2013-01-02,1,HOME AND KITCHEN I,0.0,0
1798,2013-01-02,1,HOME AND KITCHEN II,0.0,0
1799,2013-01-02,1,HOME APPLIANCES,0.0,0
1800,2013-01-02,1,HOME CARE,0.0,0
1801,2013-01-02,1,LADIESWEAR,0.0,0
1802,2013-01-02,1,LAWN AND GARDEN,10.0,0
1803,2013-01-02,1,LINGERIE,13.0,0
1804,2013-01-02,1,"LIQUOR,WINE,BEER",67.0,0
1805,2013-01-02,1,MAGAZINES,0.0,0
1806,2013-01-02,1,MEATS,369.101,0
1807,2013-01-02,1,PERSONAL CARE,194.0,0
1808,2013-01-02,1,PET SUPPLIES,0.0,0
1809,2013-01-02,1,PLAYERS AND ELECTRONICS,0.0,0
1810,2013-01-02,1,POULTRY,247.297,0
1811,2013-01-02,1,PREPARED FOODS,47.0,0
1812,2013-01-02,1,PRODUCE,0.0,0
1813,2013-01-02,1,SCHOOL AND OFFICE SUPPLIES,0.0,0
1814,2013-01-02,1,SEAFOOD,38.029,0
3564,2013-01-03,1,AUTOMOTIVE,3.0,0
3565,2013-01-03,1,BABY CARE,0.0,0
3566,2013-01-03,1,BEAUTY,0.0,0
3567,2013-01-03,1,BEVERAGES,919.0,0
3568,2013-01-03,1,BOOKS,0.0,0
3569,2013-01-03,1,BREAD/BAKERY,310.655,0
3570,2013-01-03,1,CELEBRATION,0.0,0
3571,2013-01-03,1,CLEANING,836.0,0
3572,2013-01-03,1,DAIRY,453.0,0
3573,2013-01-03,1,DELI,151.582,0
3574,2013-01-03,1,EGGS,203.0,0
3575,2013-01-03,1,FROZEN FOODS,87.044,0
3576,2013-01-03,1,GROCERY I,2121.0,0
3577,2013-01-03,1,GROCERY II,12.0,0
3578,2013-01-03,1,HARDWARE,1.0,0
3579,2013-01-03,1,HOME AND KITCHEN I,0.0,0
3580,2013-01-03,1,HOME AND KITCHEN II,0.0,0
3581,2013-01-03,1,HOME APPLIANCES,2.0,0
3582,2013-01-03,1,HOME CARE,0.0,0
3583,2013-01-03,1,LADIESWEAR,0.0,0
3584,2013-01-03,1,LAWN AND GARDEN,0.0,0
3585,2013-01-03,1,LINGERIE,15.0,0
3586,2013-01-03,1,"LIQUOR,WINE,BEER",66.0,0
